,fixed
0,539
1,588
2,637
3,686
4,735
5,784
6,833
7,882
8,931
9,980
10,1029
11,1078
12,1127
13,1176
14,1225
15,1274
16,1323
17,1372
18,1421
19,1470
20,1519
21,1568
22,1617
23,1666
