,adaptive
0,544
1,596
2,651
3,702
4,758
5,812
6,867
7,918
8,974
9,1030
10,1083
11,1138
12,1194
13,1251
14,1305
15,1358
16,1412
17,1468
18,1525
19,1580
20,1629
21,1684
22,1735
23,1787
