,1,2,3,4
0,[0.01413346],[0.01074544],[0.01377916],[0.01189575]
1,[0.01195737],[0.01208217],[0.01087816],[0.01965429]
2,[0.00897457],[0.01543014],[0.01231637],[0.01786449]
3,[0.00767247],[0.0078093],[0.01134701],[0.01071738]
4,[0.007299],[0.00745496],[0.00828843],[0.01109461]
5,[0.00804949],[0.01182831],[0.00700026],[0.01056036]
6,[0.00891535],[0.01049283],[0.01481698],[0.01093456]
7,[0.00908329],[0.00890008],[0.01527932],[0.01175654]
8,[0.0079501],[0.00900433],[0.00825953],[0.01436726]
9,[0.00695905],[0.00830129],[0.01289167],[0.00949783]
10,[0.00855273],[0.00807947],[0.01087567],[0.01118438]
11,[0.00657366],[0.00799736],[0.00839],[0.009009]
12,[0.0091471],[0.00791608],[0.00788041],[0.00930351]
13,[0.01029929],[0.00932121],[0.0080287],[0.00892271]
14,[0.00613801],[0.00636935],[0.0083526],[0.00873534]
15,[0.00829997],[0.00909443],[0.00984065],[0.00935934]
16,[0.00474918],[0.00777765],[0.00933464],[0.00564053]
17,[0.00691798],[0.00660738],[0.00852115],[0.00807895]
18,[0.00992114],[0.00702887],[0.00746959],[0.0065512]
19,[0.00848386],[0.00802599],[0.00866657],[0.00938315]
20,[0.00968345],[0.00763339],[0.00713625],[0.00742883]
21,[0.00824752],[0.01078184],[0.0122421],[0.00715857]
22,[0.0059024],[0.00623978],[0.01178677],[0.00670544]
23,[0.00680798],[0.00728573],[0.01109982],[0.00736769]
